Community 1: ['1', '29']
Community 2: ['2', '13']
Community 3: ['3', '47']
Community 4: ['4', '12']
Community 5: ['5', '17']
Community 6: ['6', '16']
Community 7: ['7', '18']
Community 8: ['8', '19']
Community 9: ['9', '50']
Community 10: ['10', '21']
Community 11: ['11', '121']
Community 12: ['14', '23']
Community 13: ['15', '24']
Community 14: ['20', '27']
Community 15: ['22', '36']
Community 16: ['25', '54']
Community 17: ['26', '45']
Community 18: ['28', '37']
Community 19: ['30', '39']
Community 20: ['31']
Community 21: ['32', '41']
Community 22: ['33', '43']
Community 23: ['34', '44']
Community 24: ['35', '49']
Community 25: ['38', '53']
Community 26: ['40', '46']
Community 27: ['42', '48']
Community 28: ['51', '58']
Community 29: ['52', '55']
Community 30: ['56', '61']
Community 31: ['57', '59']
Community 32: ['60', '62']
Community 33: ['63', '64']
Community 34: ['65', '66']
Community 35: ['67', '68']
Community 36: ['69', '91']
Community 37: ['70', '71']
Community 38: ['72', '75']
Community 39: ['73', '74']
Community 40: ['76', '79']
Community 41: ['77', '80']
Community 42: ['78', '81']
Community 43: ['82', '86']
Community 44: ['83', '88']
Community 45: ['84', '87']
Community 46: ['85', '89']
Community 47: ['90', '97']
Community 48: ['92', '118']
Community 49: ['93', '104']
Community 50: ['94', '98']
Community 51: ['95', '100']
Community 52: ['96', '106']
Community 53: ['99', '107']
Community 54: ['101', '102']
Community 55: ['103', '114']
Community 56: ['105', '109']
Community 57: ['108', '112']
Community 58: ['110', '111']
Community 59: ['113']
Community 60: ['115', '117']
Community 61: ['116', '119']
Community 62: ['120', '124']
Community 63: ['122', '125']
Community 64: ['123', '127']
Community 65: ['126']
Community 66: ['128', '129']
Community 67: ['130', '131']
